id,date,likes,content,username,media,inferred company,vlm_description
1,2020-12-12 00:47:00,1,"Spend your weekend morning with a Ham, Egg, and Cheese Wrap paired with a sweet Iced French Vanilla! ☀️ Order yours now via dine-in, takeout, and delivery. #TimHortonsPH <hyperlink>",TimHortonsPH,"[Photo(previewUrl='https://pbs.twimg.com/media/Eo8N3JLVoAAlDJT?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Eo8N3JLVoAAlDJT?format=jpg&name=large')]",tim hortons,"No drones

That sign can't stop me because I can't read!

Scene: A cartoon character, likely a young girl, is standing in front of a door with a ""No Drones"" sign above it. She has her hands on her hips and is looking at the sign, seemingly unaware of its message. The setting appears to be indoors, possibly a home or an office. The character is wearing a pink dress over a white shirt."
2,2018-06-30 10:04:20,2750,Watch rapper <mention> freestyle for over an HOUR <hyperlink> <hyperlink>,IndyMusic,"[Photo(previewUrl='https://pbs.twimg.com/media/Dg7mW-VX0AE_hMn?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Dg7mW-VX0AE_hMn?format=jpg&name=large')]",independent,"**Visible Text:**
- Capital XTRA

**Scene Description:**
A person with braided hair, wearing a black hoodie with red text, is speaking into a microphone branded with ""Capital XTRA."" The background features a blue and pink backdrop with the Capital XTRA logo. The individual appears to be in a studio setting, possibly during a live broadcast or interview."
3,2020-09-29 19:47:28,57,Canadian Armenian community demands ban on military drone tech exports to Turkey <hyperlink> <hyperlink>,CBCCanada,"[Photo(previewUrl='https://pbs.twimg.com/media/EjG2s4aXgAMNM1o?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EjG2s4aXgAMNM1o?format=jpg&name=large')]",cbc,"The image shows a soldier in combat gear, amidst a backdrop of explosions and debris. The soldier is positioned near a stack of ammunition, suggesting an intense battle scenario.

Marketing Tweet: ""In the heat of battle, our soldiers stand firm against adversity. Stay tuned for more inspiring stories of courage and resilience."" 🚀💥 #SoldierStrong #MilitaryHeroes"
4,2020-10-01 11:40:09,152,"1st in Europe to be devastated by COVID-19, Italy redoubled its efforts, and they're now paying off. My latest. 👇🏼👇🏼
<hyperlink> <hyperlink>",MKWilliamsRome,"[Photo(previewUrl='https://pbs.twimg.com/media/EjPaVniX0AAaWLJ?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EjPaVniX0AAaWLJ?format=jpg&name=large')]",williams,"**Tweet:** ""Escape to paradise! 🌞 Beach vibes at our idyllic beach destination. 🏖️ #BeachLife #VacationVibes"""
5,2018-10-19 14:30:46,41,Congratulations to Pauletha Butts of <mention>! She was presented a Beyond the Call Award for her leadership and planning last week’s Cultural Diversity Night! #excellenceisworththeeffort <hyperlink>,BGISD,"[Photo(previewUrl='https://pbs.twimg.com/media/Dp4L0cSUcAAh9JG?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Dp4L0cSUcAAh9JG?format=jpg&name=large')]",independent,media could not be processed
6,2020-11-15 16:01:08,525,"An 85-year-old primary school in Shanghai has been lifted off the ground — in its entirety — and relocated using new technology dubbed the ""walking machine."" <hyperlink> <hyperlink>",cnni,"[Video(thumbnailUrl='https://pbs.twimg.com/amplify_video_thumb/1322382278794858496/img/eKRa2rXniZ_eOCNB.jpg', variants=[VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/amplify_video/1322382278794858496/pl/cFQbZqH2I81CcDHU.m3u8?tag=13', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1322382278794858496/vid/1280x720/Zz0AxPDI2x6hO29a.mp4?tag=13', bitrate=2176000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1322382278794858496/vid/640x360/ROzx5DbECg35uopU.mp4?tag=13', bitrate=832000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1322382278794858496/vid/480x270/5Fx4A4yzGMvLpTUH.mp4?tag=13', bitrate=288000)], duration=65.432, views=572671)]",cnn,no media
7,2019-10-24 10:51:03,0,LASU Celebrates New Dawn Of Unbroken Peace As Law Faculty Presents Book On Fagbohun <hyperlink> <hyperlink>,IndependentNGR,"[Photo(previewUrl='https://pbs.twimg.com/media/EHo1yZyU0AIBW8N?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EHo1yZyU0AIBW8N?format=jpg&name=large')]",independent,media could not be processed
8,2018-07-17 22:04:26,3,"Next week CNCF will be publishing a series of case studies about companies leveraging #cloudnative technologies in a powerful way. <mention> discusses this and more on Episode 52 of #Cloud Unfiltered: <hyperlink>
#opensource #K8s <hyperlink>",CiscoCloud,"[Video(thumbnailUrl='https://pbs.twimg.com/amplify_video_thumb/1019341984543268866/img/ieqbfTc82OlF0hD6.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1019341984543268866/vid/1280x720/eXvYekEllRcp4kXo.mp4?tag=3', bitrate=2176000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1019341984543268866/vid/640x360/ewrbY6gdakX6772y.mp4?tag=3', bitrate=832000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/amplify_video/1019341984543268866/pl/ZXnSWKKQIgXwX6Xi.m3u8?tag=3', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1019341984543268866/vid/320x180/xESU2Mmf6u4xGRH-.mp4?tag=3', bitrate=288000)], duration=57.758, views=116)]",cisco,no media
9,2019-03-27 12:18:01,572,"A 95-year-old World War II veteran says he was so saddened by the horrific mosque attacks in Christchurch, New Zealand, that he took four buses to attend a solidarity march against racism in Auckland. <hyperlink> <hyperlink>",cnni,"[Photo(previewUrl='https://pbs.twimg.com/media/D2qiPBTX0AI_13F?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/D2qiPBTX0AI_13F?format=jpg&name=large')]",cnn,media could not be processed
10,2020-08-01 05:24:03,127,"Nicholas Hoult, Charlize Theron, and Aisha Tyler on stage at a drive-in screening of ""Mad Max: Fury Road"" benefiting the Charlize Theron Africa Outreach Project at The Grove on July 31 in Los Angeles.

More 📸 #CharlizeTheron 👉 <hyperlink>
#MadMax #MadMaxFuryRoad <hyperlink>",GettyVIP,"[Photo(previewUrl='https://pbs.twimg.com/media/EeT6pQZVoAAM2Lj?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EeT6pQZVoAAM2Lj?format=jpg&name=large')]",getty images,media could not be processed
