regime,company,draft,draft_pred,targeted,targeted_pred,best_of_4,best_of_4_pred
unseen-brand,tommy hilfiger,<mention> <mention> is back in the game! <hyperlink>,72.0,<mention> <mention> is back in the game! <hyperlink>,72.0,It’s back in full force with our new #TOMMYSports jersey! <hyperlink>,164.4
unseen-brand,unilever,"We’re excited to announce the launch of our new <mention> brand, <mention>, which is now available in more than 100 countries. <hyperlink>",780.7,"We’re excited to announce the launch of our new <mention> brand, <mention>, which will be available in more than 100 countries by the end of 2020. <hyperlink>",822.4,The #COP21 is a UN conference dedicated to addressing climate change through international agreements between governments. <hyperlink>,622.3
unseen-brand,td,Thank you to <mention> for being such an amazing mentor to me. I am so proud of all that you have achieved. <hyperlink>,936.4,Thank you to <mention> for your support in the fight against #COVID19. I am proud to be a Member of the House of the Oireachtas. <hyperlink>,719.1,"I've been working on a report into why we're missing more children out of school than anywhere else in Europe, but that isn't what this session is about - it is about how to help young people become healthy adults. #Education <hyperlink>",1282.6
unseen-brand,malaysia airlines,We are excited to announce that <mention> will be joining us for the 2019 #ASIANCITYFESTIVAL in Kuala Lumpur. <hyperlink>,590.0,We are excited to announce the launch of <mention> in Malaysia. <hyperlink>,497.9,"Mentorship is about giving others the ability to achieve more with less, which is why it’s so important during these challenging times #CoronaVirus <hyperlink>",611.8
unseen-brand,monster,<mention> <mention> #MonsterHunters <hyperlink>,1277.7,<mention> <mention> #MonsterHunters <hyperlink>,1277.7,#MHW : <mention> tells the story of one day in his life. <hyperlink>,1789.3
unseen-brand,desjardins,We’re proud to announce that <mention> has joined the #DesJardinsFamily! <hyperlink>,13.4,We’re proud to announce that <mention> has joined the #DesJardinsFamily! <hyperlink>,13.4,#BMO is proud to announce the #GowenWrightTeam as its winner of the annual <mention> competition! Congratulations to them on all their hard work in building this award winning program. 🏆🏆🏆 #MentorshipTuesday 🌋 #EmployeeEngagement #BMO #WomenInFinance <hyperlink>,35.1
unseen-brand,movistar,<mention> <mention> #RnadalAcademy <hyperlink>,636.3,<mention> <mention> #RnadalAcademy <hyperlink>,636.3,"#MUNDOLIFE 🇴🇹 <mention> says “I’m going to take him home, even if it kills me.” #SerieA #Ronaldo <hyperlink>",877.9
unseen-brand,td,"It’s been a long time coming, but I’m delighted to announce that <mention> has been appointed as the new Chief Executive Officer of the Irish Football Association. <hyperlink>",858.9,"It’s been a long time coming, but I’m delighted to announce that <mention> has been appointed as the new Chief Executive of the Irish Football Association. <hyperlink>",925.9,The next two weeks will see me in Laois to mark St Patrick’s Day. We can expect some rain! #LaoiDay <hyperlink>,1222.1
unseen-brand,desjardins,<mention> <mention> I'm so happy to be here with you today! <hyperlink>,6.7,<mention> <mention> I'm so happy to be here with you today! <hyperlink>,6.7,Happy #NationalPancakeDay!!! <hyperlink>,18.7
unseen-brand,movistar,<mention> <mention> #RnadalAcademy <hyperlink>,1136.3,<mention> <mention> #RnadalAcademy <hyperlink>,1136.3,#RnadaCup 🎁🎁🎁 <hyperlink>,1780.9
unseen-brand,desjardins,<mention> <mention> I'm so happy to be here with you today! <hyperlink>,7.1,<mention> <mention> I'm so happy to be here with you today! <hyperlink>,7.1,"I'm thrilled that we're seeing more women in leadership roles - especially those who have children, because you don't see so many of them in that position until later on. And it helps when they have kids &amp; want to make sure their kids' needs are met. <hyperlink>",20.3
unseen-brand,monster,<mention> <mention> I'm so proud of you both! <hyperlink>,1189.4,<mention> <mention> I’m so happy to be back in the studio with you guys. <hyperlink>,1729.3,We are very proud of you all <mention> #TigerMom #Lioness <hyperlink>,1647.0
unseen-brand,td,<mention> <mention> #NeasaNeasa <hyperlink>,787.4,<mention> <mention> #NeasaNeasa <hyperlink>,787.4,"The #Nasacea is excited to kick off her debut with <mention> on March 24! Get ready to meet one of our biggest influencers, <mention>, as she shares all things about this season with <hyperlink>",1665.7
unseen-brand,td,<mention> <mention> I'm so happy to be here. I'm really looking forward to it. It's going to be a lot of fun. <hyperlink>,697.6,<mention> <mention> I'm so happy to be here. I'm really looking forward to it. It's going to be a great experience. <hyperlink>,674.9,"Liam O'Mahony’s first TD was for Leinster, but he won’t be making it to the final again this weekend as we face us on Saturday night... <hyperlink>",823.3
unseen-brand,unilever,We are proud to announce that <mention> has been selected as one of the 10 finalists for the #UnileverGlobalSustainabilityChallenge 2020. <hyperlink>,791.1,We are proud to announce that <mention> has been selected as one of the 10 finalists for the #Unilever #WomenInLeadership award. <hyperlink>,712.9,#HappyNewYear! Here’s wishing you all the best in your new year #2020 <hyperlink>,739.5
